date,pitcher_name,pitcher_hand,team,opponent,venue,projected_ks,actual_ks,book_line,our_edge_score,over_hit,swstr_pct,csw_pct,k_pct,opp_k_pct_vs_hand,o_swing_pct,park_factor,ump_adjustment,weather_temp,weather_wind,days_rest,pitch_count_last_outing,rolling_k_avg_3,rolling_k_avg_5
2026-03-29,Luis Morales,R,ATH,TOR,Rogers Centre,,5,,,N/A,,,,,,,,,,,,,
2026-03-29,Eric Lauer,R,TOR,ATH,Rogers Centre,,9,,,N/A,,,,,,,,,,,,,
2026-03-29,Connelly Early,R,BOS,CIN,Great American Ball Park,,6,,,N/A,,,,,,,,,,,,,
2026-03-29,Rhett Lowder,R,CIN,BOS,Great American Ball Park,,5,,,N/A,,,,,,,,,,,,,
2026-03-29,Carmen Mlodzinski,R,PIT,NYM,Citi Field,,8,,,N/A,,,,,,,,,,,,,
2026-03-29,Nolan McLean,R,NYM,PIT,Citi Field,,8,,,N/A,,,,,,,,,,,,,
2026-03-29,Jose Quintana,R,COL,MIA,loanDepot park,,2,,,N/A,,,,,,,,,,,,,
2026-03-29,Max Meyer,R,MIA,COL,loanDepot park,,5,,,N/A,,,,,,,,,,,,,
2026-03-29,Jack Kochanowicz,R,LAA,HOU,Daikin Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-29,Tatsuya Imai,R,HOU,LAA,Daikin Park,,4,,,N/A,,,,,,,,,,,,,
2026-03-29,Anthony Kay,R,CWS,MIL,American Family Field,,5,,,N/A,,,,,,,,,,,,,
2026-03-29,Brandon Sproat,R,MIL,CWS,American Family Field,,3,,,N/A,,,,,,,,,,,,,
2026-03-29,Steven Matz,R,TB,STL,Busch Stadium,,2,,,N/A,,,,,,,,,,,,,
2026-03-29,Dustin May,R,STL,TB,Busch Stadium,,3,,,N/A,,,,,,,,,,,,,
2026-03-29,Jake Irvin,R,WSH,CHC,Wrigley Field,,7,,,N/A,,,,,,,,,,,,,
2026-03-29,Shota Imanaga,R,CHC,WSH,Wrigley Field,,7,,,N/A,,,,,,,,,,,,,
2026-03-29,Slade Cecconi,R,CLE,SEA,T-Mobile Park,,5,,,N/A,,,,,,,,,,,,,
2026-03-29,Emerson Hancock,R,SEA,CLE,T-Mobile Park,,9,,,N/A,,,,,,,,,,,,,
2026-03-30,Simeon Woods Richardson,R,MIN,KC,Kauffman Stadium,,2,,,N/A,,,,,,,,,,,,,
2026-03-30,Kris Bubic,R,KC,MIN,Kauffman Stadium,,4,,,N/A,,,,,,,,,,,,,
2026-03-30,Jack Leiter,R,TEX,BAL,Oriole Park at Camden Yards,,8,,,N/A,,,,,,,,,,,,,
2026-03-30,Chris Bassitt,R,BAL,TEX,Oriole Park at Camden Yards,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Braxton Ashcraft,R,PIT,CIN,Great American Ball Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Chase Burns,R,CIN,PIT,Great American Ball Park,,7,,,N/A,,,,,,,,,,,,,
2026-03-30,Foster Griffin,R,WSH,PHI,Citizens Bank Park,,5,,,N/A,,,,,,,,,,,,,
2026-03-30,Taijuan Walker,R,PHI,WSH,Citizens Bank Park,,2,,,N/A,,,,,,,,,,,,,
2026-03-30,Davis Martin,R,CWS,MIA,loanDepot park,,6,,,N/A,,,,,,,,,,,,,
2026-03-30,Chris Paddack,R,MIA,CWS,loanDepot park,,6,,,N/A,,,,,,,,,,,,,
2026-03-30,Tomoyuki Sugano,R,COL,TOR,Rogers Centre,,4,,,N/A,,,,,,,,,,,,,
2026-03-30,Cody Ponce,R,TOR,COL,Rogers Centre,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Jacob Lopez,R,ATH,ATL,Truist Park,,0,,,N/A,,,,,,,,,,,,,
2026-03-30,Bryce Elder,R,ATL,ATH,Truist Park,,5,,,N/A,,,,,,,,,,,,,
2026-03-30,Ryan Johnson,R,LAA,CHC,Wrigley Field,,2,,,N/A,,,,,,,,,,,,,
2026-03-30,Edward Cabrera,R,CHC,LAA,Wrigley Field,,5,,,N/A,,,,,,,,,,,,,
2026-03-30,Nick Martinez,R,TB,MIL,American Family Field,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Kyle Harrison,R,MIL,TB,American Family Field,,8,,,N/A,,,,,,,,,,,,,
2026-03-30,Clay Holmes,R,NYM,STL,Busch Stadium,,5,,,N/A,,,,,,,,,,,,,
2026-03-30,Kyle Leahy,R,STL,NYM,Busch Stadium,,1,,,N/A,,,,,,,,,,,,,
2026-03-30,Ranger Suarez,R,BOS,HOU,Daikin Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Lance McCullers Jr.,R,HOU,BOS,Daikin Park,,9,,,N/A,,,,,,,,,,,,,
2026-03-30,Landen Roupp,R,SF,SD,Petco Park,,7,,,N/A,,,,,,,,,,,,,
2026-03-30,Walker Buehler,R,SD,SF,Petco Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-30,Ryan Weathers,R,NYY,SEA,T-Mobile Park,,7,,,N/A,,,,,,,,,,,,,
2026-03-30,Luis Castillo,R,SEA,NYY,T-Mobile Park,,7,,,N/A,,,,,,,,,,,,,
2026-03-30,Justin Verlander,R,DET,AZ,Chase Field,,1,,,N/A,,,,,,,,,,,,,
2026-03-30,Michael Soroka,R,AZ,DET,Chase Field,,10,,,N/A,,,,,,,,,,,,,
2026-03-30,Parker Messick,R,CLE,LAD,UNIQLO Field at Dodger Stadium,,5,,,N/A,,,,,,,,,,,,,
2026-03-30,Roki Sasaki,R,LAD,CLE,UNIQLO Field at Dodger Stadium,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Jacob deGrom,R,TEX,BAL,Oriole Park at Camden Yards,,7,,,N/A,,,,,,,,,,,,,
2026-03-31,Zach Eflin,R,BAL,TEX,Oriole Park at Camden Yards,,7,,,N/A,,,,,,,,,,,,,
2026-03-31,Bubba Chandler,R,PIT,CIN,Great American Ball Park,,6,,,N/A,,,,,,,,,,,,,
2026-03-31,Brandon Williamson,R,CIN,PIT,Great American Ball Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-31,PJ Poulin,R,WSH,PHI,Citizens Bank Park,,1,,,N/A,,,,,,,,,,,,,
2026-03-31,Andrew Painter,R,PHI,WSH,Citizens Bank Park,,8,,,N/A,,,,,,,,,,,,,
2026-03-31,Erick Fedde,R,CWS,MIA,loanDepot park,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Janson Junk,R,MIA,CWS,loanDepot park,,5,,,N/A,,,,,,,,,,,,,
2026-03-31,Ryan Feltner,R,COL,TOR,Rogers Centre,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Max Scherzer,R,TOR,COL,Rogers Centre,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Aaron Civale,R,ATH,ATL,Truist Park,,3,,,N/A,,,,,,,,,,,,,
2026-03-31,José Suarez,R,ATL,ATH,Truist Park,,6,,,N/A,,,,,,,,,,,,,
2026-03-31,José Soriano,R,LAA,CHC,Wrigley Field,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Jameson Taillon,R,CHC,LAA,Wrigley Field,,3,,,N/A,,,,,,,,,,,,,
2026-03-31,Shane McClanahan,R,TB,MIL,American Family Field,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Brandon Woodruff,R,MIL,TB,American Family Field,,6,,,N/A,,,,,,,,,,,,,
2026-03-31,Kodai Senga,R,NYM,STL,Busch Stadium,,9,,,N/A,,,,,,,,,,,,,
2026-03-31,Andre Pallante,R,STL,NYM,Busch Stadium,,3,,,N/A,,,,,,,,,,,,,
2026-03-31,Brayan Bello,R,BOS,HOU,Daikin Park,,2,,,N/A,,,,,,,,,,,,,
2026-03-31,Hunter Brown,R,HOU,BOS,Daikin Park,,8,,,N/A,,,,,,,,,,,,,
2026-03-31,Casey Mize,R,DET,AZ,Chase Field,,9,,,N/A,,,,,,,,,,,,,
2026-03-31,Brandon Pfaadt,R,AZ,DET,Chase Field,,3,,,N/A,,,,,,,,,,,,,
2026-03-31,Logan Webb,R,SF,SD,Petco Park,,5,,,N/A,,,,,,,,,,,,,
2026-03-31,Germán Márquez,R,SD,SF,Petco Park,,1,,,N/A,,,,,,,,,,,,,
2026-03-31,Max Fried,R,NYY,SEA,T-Mobile Park,,6,,,N/A,,,,,,,,,,,,,
2026-03-31,Logan Gilbert,R,SEA,NYY,T-Mobile Park,,6,,,N/A,,,,,,,,,,,,,
2026-03-31,Tanner Bibee,R,CLE,LAD,UNIQLO Field at Dodger Stadium,,4,,,N/A,,,,,,,,,,,,,
2026-03-31,Shohei Ohtani,R,LAD,CLE,UNIQLO Field at Dodger Stadium,,6,,,N/A,,,,,,,,,,,,,
